,name,address,link,details,n_students,neighborhood,type
0,Yuverta vmbo Aalsmeer,Jac. P. Thijsselaan 18,/middelbare-scholen/aalsmeer/1713/yuverta-vmbo-aalsmeer/,OverigeVoortgezet onderwijs535 leerlingen,535,Aalsmeer,Middle School
1,Yuverta mavo Aalsmeer,1e J.C. Mensinglaan 40,/middelbare-scholen/aalsmeer/1717/yuverta-mavo-aalsmeer/,OverigeVoortgezet onderwijs491 leerlingen,491,Aalsmeer,Middle School
2,Chr Coll Schaersvoorde,Slingelaan 28,/middelbare-scholen/aalten/3289/chr-coll-schaersvoorde/,Prot. christelijkVoortgezet onderwijs1019 leerlingen,1019,Aalten,Middle School
3,Chr Coll Schaersvoorde,Landbouwstraat 1,/middelbare-scholen/aalten/23137/chr-coll-schaersvoorde/,Prot. christelijkVoortgezet onderwijs382 leerlingen,382,Aalten,Middle School
4,Montessori College Aerdenhout,Boekenroodeweg 5,/middelbare-scholen/aerdenhout/2536/montessori-college-aerdenhout/,SamenwerkingVoortgezet onderwijs427 leerlingenMontessori,427,Aerdenhout,Middle School
5,OSG Willem Blaeu,Robonsbosweg 11,/middelbare-scholen/alkmaar/481/osg-willem-blaeu/,OpenbaarVoortgezet onderwijs761 leerlingen,761,Alkmaar,Middle School
6,"osg Willem Blaeu, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/482/osg-willem-blaeu-vestiging-van-der-meij-college/,OpenbaarVoortgezet onderwijs219 leerlingen,219,Alkmaar,Middle School
7,De Viaan (praktijkonderwijs),Havinghastraat 11,/middelbare-scholen/alkmaar/491/de-viaan-praktijkonderwijs/,OpenbaarVoortgezet onderwijs220 leerlingen,220,Alkmaar,Middle School
8,Stedelijk Dalton College Alkmaar,Arubastraat 4,/middelbare-scholen/alkmaar/493/stedelijk-dalton-college-alkmaar/,OpenbaarVoortgezet onderwijs1015 leerlingenDalton,1015,Alkmaar,Middle School
9,"Stedelijk Dalton College Alkmaar, vestiiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/494/stedelijk-dalton-college-alkmaar-vestiiging-van-der-meij-college/,OpenbaarVoortgezet onderwijs115 leerlingen,115,Alkmaar,Middle School
10,Murmellius Gymnasium,Bergerhout 1,/middelbare-scholen/alkmaar/498/murmellius-gymnasium/,OpenbaarVoortgezet onderwijs758 leerlingen,758,Alkmaar,Middle School
11,Vonk Alkmaar (voorheen Clusius College),Drechterwaard 10,/middelbare-scholen/alkmaar/1343/vonk-alkmaar-voorheen-clusius-college/,OverigeVoortgezet onderwijs528 leerlingen,528,Alkmaar,Middle School
12,Heliomare College Alkmaar,Amstelstraat 5,/middelbare-scholen/alkmaar/24199/heliomare-college-alkmaar/,OverigeVoortgezet speciaal onderwijs184 leerlingen,184,Alkmaar,Middle School
13,"De Spinaker, VSO Alkmaar",Jan Ligthartstraat 7,/middelbare-scholen/alkmaar/11343/de-spinaker-vso-alkmaar/,OpenbaarVoortgezet speciaal onderwijs178 leerlingen,178,Alkmaar,Middle School
14,PCC Het Lyceum,Blekerskade 11,/middelbare-scholen/alkmaar/3028/pcc-het-lyceum/,KatholiekVoortgezet onderwijs1217 leerlingen,1217,Alkmaar,Middle School
15,PCC Fabritius,Fabritiusstraat 1,/middelbare-scholen/alkmaar/3029/pcc-fabritius/,KatholiekVoortgezet onderwijs360 leerlingen,360,Alkmaar,Middle School
16,PCC Oosterhout,Vondelstraat 41,/middelbare-scholen/alkmaar/3030/pcc-oosterhout/,KatholiekVoortgezet onderwijs590 leerlingen,590,Alkmaar,Middle School
