,Name,Link
0,Aalsmeer,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Aalsmeer&weergave=Lijst
1,Aalten,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Aalten&weergave=Lijst
2,Aerdenhout,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Aerdenhout&weergave=Lijst
3,Alkmaar,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Alkmaar&weergave=Lijst
4,Almelo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Almelo&weergave=Lijst
5,Almere,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Almere&weergave=Lijst
6,Alphen aan den Rijn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Alphen%20aan%20den%20Rijn&weergave=Lijst
7,Amersfoort,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amersfoort&weergave=Lijst
8,Amstelveen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amstelveen&weergave=Lijst
9,Amsterdam,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amsterdam&weergave=Lijst
10,Amsterdam-Duivendrecht,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amsterdam-Duivendrecht&weergave=Lijst
11,Andel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Andel&weergave=Lijst
12,Apeldoorn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Apeldoorn&weergave=Lijst
13,Appingedam,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Appingedam&weergave=Lijst
14,Arnhem,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Arnhem&weergave=Lijst
15,Assen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Assen&weergave=Lijst
16,Assendelft,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Assendelft&weergave=Lijst
17,Asten,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Asten&weergave=Lijst
18,Baarle-Nassau,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baarle-Nassau&weergave=Lijst
19,Baarn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baarn&weergave=Lijst
20,Balk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Balk&weergave=Lijst
21,Barendrecht,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Barendrecht&weergave=Lijst
22,Barneveld,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Barneveld&weergave=Lijst
23,Beek en Donk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beek%20en%20Donk&weergave=Lijst
24,Beetsterzwaag,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beetsterzwaag&weergave=Lijst
25,Beilen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beilen&weergave=Lijst
26,Bellingwolde,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bellingwolde&weergave=Lijst
27,Bemmel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bemmel&weergave=Lijst
28,Beneden-Leeuwen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beneden-Leeuwen&weergave=Lijst
29,Bergen (Noord-Holland),https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bergen%20(Noord-Holland)&weergave=Lijst
30,Bergen op Zoom,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bergen%20op%20Zoom&weergave=Lijst
31,Bergschenhoek,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bergschenhoek&weergave=Lijst
32,Berkel en Rodenrijs,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Berkel%20en%20Rodenrijs&weergave=Lijst
33,Berkel-Enschot,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Berkel-Enschot&weergave=Lijst
34,Best,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Best&weergave=Lijst
35,Beverwijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Beverwijk&weergave=Lijst
36,Bilthoven,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bilthoven&weergave=Lijst
37,Bladel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bladel&weergave=Lijst
38,Bleiswijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bleiswijk&weergave=Lijst
39,Bloemendaal,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bloemendaal&weergave=Lijst
40,Bolsward,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bolsward&weergave=Lijst
41,Borculo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borculo&weergave=Lijst
42,Borger,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borger&weergave=Lijst
43,Borne,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Borne&weergave=Lijst
44,Boskoop,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boskoop&weergave=Lijst
45,Boxmeer,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boxmeer&weergave=Lijst
46,Boxtel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Boxtel&weergave=Lijst
47,Breda,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breda&weergave=Lijst
48,Breukelen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Breukelen&weergave=Lijst
49,Brielle,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Brielle&weergave=Lijst
50,Brummen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Brummen&weergave=Lijst
51,Brunssum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Brunssum&weergave=Lijst
52,Budel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Budel&weergave=Lijst
53,Buitenpost,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Buitenpost&weergave=Lijst
54,Bunschoten-Spakenburg,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bunschoten-Spakenburg&weergave=Lijst
55,Burgum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Burgum&weergave=Lijst
56,Bussum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Bussum&weergave=Lijst
57,Cadier en Keer,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Cadier%20en%20Keer&weergave=Lijst
58,Capelle aan den IJssel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Capelle%20aan%20den%20IJssel&weergave=Lijst
59,Castricum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Castricum&weergave=Lijst
60,Coevorden,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Coevorden&weergave=Lijst
61,Cruquius,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Cruquius&weergave=Lijst
62,Cuijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Cuijk&weergave=Lijst
63,Culemborg,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Culemborg&weergave=Lijst
64,Damwâld,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Damwâld&weergave=Lijst
65,De Glind,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=De%20Glind&weergave=Lijst
66,Dedemsvaart,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dedemsvaart&weergave=Lijst
67,Delden,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Delden&weergave=Lijst
68,Delft,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Delft&weergave=Lijst
69,Den Bosch,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Den%20Bosch&weergave=Lijst
70,Den Burg,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Den%20Burg&weergave=Lijst
71,Den Haag,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Den%20Haag&weergave=Lijst
72,Den Helder,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Den%20Helder&weergave=Lijst
73,Denekamp,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Denekamp&weergave=Lijst
74,Deurne,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Deurne&weergave=Lijst
75,Deventer,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Deventer&weergave=Lijst
76,Didam,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Didam&weergave=Lijst
77,Dieren,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dieren&weergave=Lijst
78,Diever,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Diever&weergave=Lijst
79,Dinxperlo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dinxperlo&weergave=Lijst
80,Doetinchem,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Doetinchem&weergave=Lijst
81,Dokkum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dokkum&weergave=Lijst
82,Dongen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dongen&weergave=Lijst
83,Doorn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Doorn&weergave=Lijst
84,Doorwerth,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Doorwerth&weergave=Lijst
85,Dordrecht,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dordrecht&weergave=Lijst
86,Drachten,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Drachten&weergave=Lijst
87,Driehuis NH,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Driehuis%20NH&weergave=Lijst
88,Dronten,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Dronten&weergave=Lijst
89,Drunen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Drunen&weergave=Lijst
90,Druten,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Druten&weergave=Lijst
91,Duiven,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Duiven&weergave=Lijst
92,Echt,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Echt&weergave=Lijst
93,Edam,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Edam&weergave=Lijst
94,Ede,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Ede&weergave=Lijst
95,Eefde,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Eefde&weergave=Lijst
96,Eelde,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Eelde&weergave=Lijst
97,Eersel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Eersel&weergave=Lijst
98,Eibergen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Eibergen&weergave=Lijst
99,Eindhoven,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Eindhoven&weergave=Lijst
100,Elburg,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Elburg&weergave=Lijst
101,Elst (Gelderland),https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Elst%20(Gelderland)&weergave=Lijst
102,Emmeloord,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Emmeloord&weergave=Lijst
103,Emmen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Emmen&weergave=Lijst
104,Enkhuizen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Enkhuizen&weergave=Lijst
105,Enschede,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Enschede&weergave=Lijst
106,Epe,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Epe&weergave=Lijst
107,Ermelo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Ermelo&weergave=Lijst
108,Etten-Leur,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Etten-Leur&weergave=Lijst
109,Evertsoord,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Evertsoord&weergave=Lijst
110,Franeker,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Franeker&weergave=Lijst
111,Geldermalsen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Geldermalsen&weergave=Lijst
112,Geldrop,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Geldrop&weergave=Lijst
