name,address,link,type of education,n_students,neighborhood,type
Yuverta vmbo Aalsmeer,Jac. P. Thijsselaan 18,/middelbare-scholen/aalsmeer/1713/yuverta-vmbo-aalsmeer/,Overige Voortgezet,535.0,Aalsmeer,Middle School
Yuverta mavo Aalsmeer,1e J.C. Mensinglaan 40,/middelbare-scholen/aalsmeer/1717/yuverta-mavo-aalsmeer/,Overige Voortgezet,491.0,Aalsmeer,Middle School
Chr Coll Schaersvoorde,Slingelaan 28,/middelbare-scholen/aalten/3289/chr-coll-schaersvoorde/,Prot. christelijk,1019.0,Aalten,Middle School
Chr Coll Schaersvoorde,Landbouwstraat 1,/middelbare-scholen/aalten/23137/chr-coll-schaersvoorde/,Prot. christelijk,382.0,Aalten,Middle School
Montessori College Aerdenhout,Boekenroodeweg 5,/middelbare-scholen/aerdenhout/2536/montessori-college-aerdenhout/,Samenwerking Voortgezet,427.0,Aerdenhout,Middle School
OSG Willem Blaeu,Robonsbosweg 11,/middelbare-scholen/alkmaar/481/osg-willem-blaeu/,Openbaar Voortgezet,761.0,Alkmaar,Middle School
"osg Willem Blaeu, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/482/osg-willem-blaeu-vestiging-van-der-meij-college/,Openbaar Voortgezet,219.0,Alkmaar,Middle School
De Viaan (praktijkonderwijs),Havinghastraat 11,/middelbare-scholen/alkmaar/491/de-viaan-praktijkonderwijs/,Openbaar Voortgezet,220.0,Alkmaar,Middle School
Stedelijk Dalton College Alkmaar,Arubastraat 4,/middelbare-scholen/alkmaar/493/stedelijk-dalton-college-alkmaar/,Openbaar Voortgezet,1015.0,Alkmaar,Middle School
"Stedelijk Dalton College Alkmaar, vestiiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/494/stedelijk-dalton-college-alkmaar-vestiiging-van-der-meij-college/,Openbaar Voortgezet,115.0,Alkmaar,Middle School
Murmellius Gymnasium,Bergerhout 1,/middelbare-scholen/alkmaar/498/murmellius-gymnasium/,Openbaar Voortgezet,758.0,Alkmaar,Middle School
Vonk Alkmaar (voorheen Clusius College),Drechterwaard 10,/middelbare-scholen/alkmaar/1343/vonk-alkmaar-voorheen-clusius-college/,Overige Voortgezet,528.0,Alkmaar,Middle School
Heliomare College Alkmaar,Amstelstraat 5,/middelbare-scholen/alkmaar/24199/heliomare-college-alkmaar/,Overige Voortgezet,184.0,Alkmaar,Middle School
"De Spinaker, VSO Alkmaar",Jan Ligthartstraat 7,/middelbare-scholen/alkmaar/11343/de-spinaker-vso-alkmaar/,Openbaar Voortgezet,178.0,Alkmaar,Middle School
PCC Het Lyceum,Blekerskade 11,/middelbare-scholen/alkmaar/3028/pcc-het-lyceum/,Katholiek Voortgezet,1217.0,Alkmaar,Middle School
PCC Fabritius,Fabritiusstraat 1,/middelbare-scholen/alkmaar/3029/pcc-fabritius/,Katholiek Voortgezet,360.0,Alkmaar,Middle School
PCC Oosterhout,Vondelstraat 41,/middelbare-scholen/alkmaar/3030/pcc-oosterhout/,Katholiek Voortgezet,590.0,Alkmaar,Middle School
"CSG Jan Arentsz voor vmbo, havo, vwo",Mandenmakerstraat 11,/middelbare-scholen/alkmaar/3087/csg-jan-arentsz-voor-vmbo-havo-vwo/,Prot. christelijk,1486.0,Alkmaar,Middle School
"CSG Jan Arentsz, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/3088/csg-jan-arentsz-vestiging-van-der-meij-college/,Prot. christelijk,95.0,Alkmaar,Middle School
Twents Vakcollege MOTA,Plesmanweg 31,/middelbare-scholen/almelo/4852/twents-vakcollege-mota/,Algemeen bijzonder,61.0,Almelo,Middle School
Omnis College,Cesar Franckstraat 3,/middelbare-scholen/almelo/8771/omnis-college/,Algemeen bijzonder,153.0,Almelo,Middle School
Pius X College - Aalderinkshoek,Cesar Franckstraat 4,/middelbare-scholen/almelo/897/pius-x-college-aalderinkshoek/,Katholiek Voortgezet,531.0,Almelo,Middle School
Pius X College - Alma College,Catharina van Renneslaan 35,/middelbare-scholen/almelo/898/pius-x-college-alma-college/,Samenwerking Voortgezet,245.0,Almelo,Middle School
Sg. Canisius - Almelo,Slot 31,/middelbare-scholen/almelo/923/sg-canisius-almelo/,Katholiek Voortgezet,728.0,Almelo,Middle School
Het Noordik Lyceum,Noordikslaan 68,/middelbare-scholen/almelo/1173/het-noordik-lyceum/,Prot. christelijk,1332.0,Almelo,Middle School
Het Noordik - vestiging Alma College,Sluiskade Noordzijde 126a,/middelbare-scholen/almelo/1174/het-noordik-vestiging-alma-college/,Prot. christelijk,340.0,Almelo,Middle School
Het Erasmus mavo havo vwo,Sluiskade Noordzijde 68,/middelbare-scholen/almelo/1570/het-erasmus-mavo-havo-vwo/,Openbaar Voortgezet,1404.0,Almelo,Middle School
