,province,competent_authority_number,brin_number,institution_name,street_name,house_number_supplement,post_code,city_name,municipal_number,municipal_name,denomination,telephone_number,internet_address,street_name_correspondence address,house_number_addition_correspondence_address,zip_code_correspondence_address,city_name_correspondence_address,nodal_area_code,nodal_area_name,rpa_area_code,rpa_area_name,wgr_area_code,wgr_area_name,corop_area_code,corop_area_name,education_area_code,education_area_name,rmc_region_code,rmc_region_name,type,education_structure,street_name_correspondence_address
0,Drenthe,32073,03WU,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,1681,BORGER-ODOORN,Protestants-Christelijk,599671206,www.ckcdewegwijzer.nl,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
1,Drenthe,32073,04LY,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 CH,BORGER,1681,BORGER-ODOORN,Protestants-Christelijk,599234254,www.cbsdeborgh.nl,Molenstraat,3-A,9531 CH,BORGER,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
2,Drenthe,32073,04TG,Kindcentrum Drijber,Nijenkamp,29,9419 TM,DRIJBER,1731,MIDDEN-DRENTHE,Protestants-Christelijk,593562543,www.cbsdrijber.nl,Nijenkamp,29,9419 TM,DRIJBER,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
3,Drenthe,32073,05NQ,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,1730,TYNAARLO,Protestants-Christelijk,503093854,www.cbs-mensoalting.nl,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
4,Drenthe,32073,05OC,Dalton Kindcentrum ’t Kompas,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,1680,AA EN HUNZE,Protestants-Christelijk,599512734,www.dkckompas.nl,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
5,Drenthe,32073,05RC,Kindcentrum De Klister,Noorderdiep,123,9521 BC,NIEUW-BUINEN,1681,BORGER-ODOORN,Protestants-Christelijk,599613864,www.cbsdeklister.nl,Noorderdiep,123,9521 BC,NIEUW-BUINEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
6,Drenthe,32073,05RD,CKC School 59,Zuiderdiep,159,9521 AD,NIEUW-BUINEN,1681,BORGER-ODOORN,Protestants-Christelijk,599212321,www.school59.nl,Zuiderdiep,159,9521 AD,NIEUW-BUINEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
7,Drenthe,32073,05TN,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,1731,MIDDEN-DRENTHE,Protestants-Christelijk,592459055,www.cbsdevaart.nl,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
8,Drenthe,32073,05TS,Kindcentrum SPEEL en LEER,Kerklaan,3,9341 AV,VEENHUIZEN,1699,NOORDENVELD,Protestants-Christelijk,592388355,www.kindcentrumspeelenleer.nl,Kerklaan,3,9341 AV,VEENHUIZEN,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
9,Drenthe,32073,06HP,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 HX,ASSEN,106,ASSEN,Protestants-Christelijk,592351506,www.octaafassen.nl,Witterhoofdweg,1-C,9405 HX,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
10,Drenthe,32073,06HZ,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 NP,BOVENSMILDE,1731,MIDDEN-DRENTHE,Protestants-Christelijk,592412991,www.cbsdewingerd.nl,Floralaan,1-A,9421 NP,BOVENSMILDE,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
11,Drenthe,32073,06LV,Kindcentrum De Marke,de Weegbree,21,9461 KM,GIETEN,1680,AA EN HUNZE,Protestants-Christelijk,592263113,www.demarkegieten.nl,Postbus,120,9460 AC,GIETEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
