name,address,link,details,n_students,neighborhood,type
Kindcentrum De Wegwijzer,Harm Tiesingstraat 74,/basisscholen/2e-exloërmond/25159/kindcentrum-de-wegwijzer/,Prot. christelijk,84.0,2e Exloërmond,Basic School
Openbare Basisschool De Westhoek,Schoolstraat 27,/basisscholen/2e-exloërmond/7595/openbare-basisschool-de-westhoek/,Openbaar Basisonderwijs44,44.0,2e Exloërmond,Basic School
Basisschool De Tweeklank,Albardastraat 35,/basisscholen/aadorp/11785/basisschool-de-tweeklank/,Samenwerking Basisonderwijs116,116.0,Aadorp,Basic School
JHR Willem Versluijsschool,Prelaatweg 22,/basisscholen/aagtekerke/25963/jhr-willem-versluijsschool/,Prot. christelijk,191.0,Aagtekerke,Basic School
Christelijke Basisschool de Schutse,Paardelandsdrift 9,/basisscholen/aalden/9661/christelijke-basisschool-de-schutse/,Prot. christelijk,62.0,Aalden,Basic School
De Smeltkroes eerste opvangonderwijs anderstaligen,Witte Zandpad 1,/basisscholen/aalden/6878/de-smeltkroes-eerste-opvangonderwijs-anderstaligen/,Openbaar Basisonderwijs57,57.0,Aalden,Basic School
Openbare Basisschool De Anwende,Paardelandsdrift 5,/basisscholen/aalden/6879/openbare-basisschool-de-anwende/,Openbaar Basisonderwijs117,117.0,Aalden,Basic School
Jozefschool Katholiek Basisonderwijs,Gerberastraat 2,/basisscholen/aalsmeer/8825/jozefschool-katholiek-basisonderwijs/,Katholiek Basisonderwijs436,436.0,Aalsmeer,Basic School
Rooms Katholieke Basisschool Oosteinder,Catharina-Amalialaan 66 B,/basisscholen/aalsmeer/8827/rooms-katholieke-basisschool-oosteinder/,Katholiek Basisonderwijs373,373.0,Aalsmeer,Basic School
IKC Triade,Dreef 1A,/basisscholen/aalsmeer/24314/ikc-triade/,Prot. christelijk,376.0,Aalsmeer,Basic School
De Brug,Catharina-Amalialaan 66 D,/basisscholen/aalsmeer/24358/de-brug/,Prot. christelijk,173.0,Aalsmeer,Basic School
Openbare Basisschool Samen Een,Schoolstraat 15,/basisscholen/aalsmeer/6586/openbare-basisschool-samen-een/,Openbaar Basisonderwijs188,188.0,Aalsmeer,Basic School
Openbare Basisschool de Zuidooster,Catharina-Amalialaan 66 A,/basisscholen/aalsmeer/6587/openbare-basisschool-de-zuidooster/,Openbaar Basisonderwijs254,254.0,Aalsmeer,Basic School
Openbare Basisschool Den Boogerd,Donkerstraat 17,/basisscholen/aalst/6912/openbare-basisschool-den-boogerd/,Openbaar Basisonderwijs83,83.0,Aalst,Basic School
School met de Bijbel 'De Burcht',Oranjestraat 1 A,/basisscholen/aalst/23225/school-met-de-bijbel-de-burcht/,Prot. christelijk,97.0,Aalst,Basic School
SBO nieuwHessen,Hessenweg 4,/basisscholen/aalten/7221/sbo-nieuwhessen/,Prot. christelijk,73.0,Aalten,Basic School
Christelijke Basisschool Barlo,Markerinkdijk 18,/basisscholen/aalten/11090/christelijke-basisschool-barlo/,Prot. christelijk,49.0,Aalten,Basic School
Chr. Daltonschool de Klimop,Schooldijk 21,/basisscholen/aalten/7223/chr-daltonschool-de-klimop/,Prot. christelijk,61.0,Aalten,Basic School
Christelijke Basisschool 't Möllenveld,Haartseweg 12 A,/basisscholen/aalten/7226/christelijke-basisschool-t-mollenveld/,Prot. christelijk,44.0,Aalten,Basic School
Christelijke Daltonschool 't Warmelinck,Kruisdijk 17,/basisscholen/aalten/7229/christelijke-daltonschool-t-warmelinck/,Prot. christelijk,54.0,Aalten,Basic School
IKC UnieK,Vondelstraat 11a/b,/basisscholen/aalten/7230/ikc-uniek/,Prot. christelijk,143.0,Aalten,Basic School
Protestants Christelijke Basisschool Groen van Prinsterer,Ludgerstraat 86,/basisscholen/aalten/11093/protestants-christelijke-basisschool-groen-van-prinsterer/,Prot. christelijk,324.0,Aalten,Basic School
IKC De Triangel,Dalweg 18,/basisscholen/aalten/11095/ikc-de-triangel/,Prot. christelijk,336.0,Aalten,Basic School
Basisschool St. Jozef,Dijkstraat 6,/basisscholen/aalten/7650/basisschool-st-jozef/,Katholiek Basisonderwijs111,111.0,Aalten,Basic School
Openbare Basisschool De Slinger,Wehmerstraat 21,/basisscholen/aalten/26342/openbare-basisschool-de-slinger/,Openbaar Basisonderwijs135,135.0,Aalten,Basic School
Basisschool Op Dreef,Hennequinstraat 1,/basisscholen/aardenburg/26404/basisschool-op-dreef/,Katholiek Basisonderwijs106,106.0,Aardenburg,Basic School
