name,address,link,type of education,n_students,neighborhood,type,School Target,Other_schools_target,School fundamental,Other_schools_fundamental
Kindcentrum De Wegwijzer,Harm Tiesingstraat 74,/basisscholen/2e-exloërmond/25159/kindcentrum-de-wegwijzer/,Prot. christelijk,84.0,2e Exloërmond,Basic School,65.3,55.8,100.0,94.7
Openbare Basisschool De Westhoek,Schoolstraat 27,/basisscholen/2e-exloërmond/7595/openbare-basisschool-de-westhoek/,Openbaar Basisonderwijs44,44.0,2e Exloërmond,Basic School,51.4,48.9,94.6,92.7
Basisschool De Tweeklank,Albardastraat 35,/basisscholen/aadorp/11785/basisschool-de-tweeklank/,Samenwerking Basisonderwijs116,116.0,Aadorp,Basic School,64.7,58.4,94.7,95.4
JHR Willem Versluijsschool,Prelaatweg 22,/basisscholen/aagtekerke/25963/jhr-willem-versluijsschool/,Prot. christelijk,191.0,Aagtekerke,Basic School,72.6,55.8,98.4,94.7
Christelijke Basisschool de Schutse,Paardelandsdrift 9,/basisscholen/aalden/9661/christelijke-basisschool-de-schutse/,Prot. christelijk,62.0,Aalden,Basic School,73.3,61.1,100.0,96.0
De Smeltkroes eerste opvangonderwijs anderstaligen,Witte Zandpad 1,/basisscholen/aalden/6878/de-smeltkroes-eerste-opvangonderwijs-anderstaligen/,Openbaar Basisonderwijs57,57.0,Aalden,Basic School,4.1,9.4,100.0,0.1
Openbare Basisschool De Anwende,Paardelandsdrift 5,/basisscholen/aalden/6879/openbare-basisschool-de-anwende/,Openbaar Basisonderwijs117,117.0,Aalden,Basic School,49.0,61.1,93.5,96.0
Jozefschool Katholiek Basisonderwijs,Gerberastraat 2,/basisscholen/aalsmeer/8825/jozefschool-katholiek-basisonderwijs/,Katholiek Basisonderwijs436,436.0,Aalsmeer,Basic School,67.5,63.6,97.0,96.4
Rooms Katholieke Basisschool Oosteinder,Catharina-Amalialaan 66 B,/basisscholen/aalsmeer/8827/rooms-katholieke-basisschool-oosteinder/,Katholiek Basisonderwijs373,373.0,Aalsmeer,Basic School,68.3,64.7,96.9,96.7
IKC Triade,Dreef 1A,/basisscholen/aalsmeer/24314/ikc-triade/,Prot. christelijk,376.0,Aalsmeer,Basic School,60.5,58.3,98.3,95.4
De Brug,Catharina-Amalialaan 66 D,/basisscholen/aalsmeer/24358/de-brug/,Prot. christelijk,173.0,Aalsmeer,Basic School,69.7,62.0,97.0,96.4
Openbare Basisschool Samen Een,Schoolstraat 15,/basisscholen/aalsmeer/6586/openbare-basisschool-samen-een/,Openbaar Basisonderwijs188,188.0,Aalsmeer,Basic School,53.6,61.1,93.3,96.0
Openbare Basisschool de Zuidooster,Catharina-Amalialaan 66 A,/basisscholen/aalsmeer/6587/openbare-basisschool-de-zuidooster/,Openbaar Basisonderwijs254,254.0,Aalsmeer,Basic School,62.9,62.0,97.0,96.4
Openbare Basisschool Den Boogerd,Donkerstraat 17,/basisscholen/aalst/6912/openbare-basisschool-den-boogerd/,Openbaar Basisonderwijs83,83.0,Aalst,Basic School,64.8,55.8,96.2,94.7
School met de Bijbel 'De Burcht',Oranjestraat 1 A,/basisscholen/aalst/23225/school-met-de-bijbel-de-burcht/,Prot. christelijk,97.0,Aalst,Basic School,54.7,55.8,90.6,94.7
SBO nieuwHessen,Hessenweg 4,/basisscholen/aalten/7221/sbo-nieuwhessen/,Prot. christelijk,73.0,Aalten,Basic School,25.0,9.3,33.3,25.0
Christelijke Basisschool Barlo,Markerinkdijk 18,/basisscholen/aalten/11090/christelijke-basisschool-barlo/,Prot. christelijk,49.0,Aalten,Basic School,51.5,59.2,89.4,95.6
Chr. Daltonschool de Klimop,Schooldijk 21,/basisscholen/aalten/7223/chr-daltonschool-de-klimop/,Prot. christelijk,61.0,Aalten,Basic School,75.3,57.9,98.8,95.3
Christelijke Basisschool 't Möllenveld,Haartseweg 12 A,/basisscholen/aalten/7226/christelijke-basisschool-t-mollenveld/,Prot. christelijk,44.0,Aalten,Basic School,56.8,58.3,91.4,95.4
Christelijke Daltonschool 't Warmelinck,Kruisdijk 17,/basisscholen/aalten/7229/christelijke-daltonschool-t-warmelinck/,Prot. christelijk,54.0,Aalten,Basic School,64.9,60.8,93.0,96.0
IKC UnieK,Vondelstraat 11a/b,/basisscholen/aalten/7230/ikc-uniek/,Prot. christelijk,143.0,Aalten,Basic School,58.0,55.3,95.1,94.4
Protestants Christelijke Basisschool Groen van Prinsterer,Ludgerstraat 86,/basisscholen/aalten/11093/protestants-christelijke-basisschool-groen-van-prinsterer/,Prot. christelijk,324.0,Aalten,Basic School,64.4,59.2,96.7,95.6
IKC De Triangel,Dalweg 18,/basisscholen/aalten/11095/ikc-de-triangel/,Prot. christelijk,336.0,Aalten,Basic School,67.5,61.1,95.1,96.0
Basisschool St. Jozef,Dijkstraat 6,/basisscholen/aalten/7650/basisschool-st-jozef/,Katholiek Basisonderwijs111,111.0,Aalten,Basic School,54.5,55.8,91.7,94.7
Openbare Basisschool De Slinger,Wehmerstraat 21,/basisscholen/aalten/26342/openbare-basisschool-de-slinger/,Openbaar Basisonderwijs135,135.0,Aalten,Basic School,56.0,58.3,97.2,95.4
Basisschool Op Dreef,Hennequinstraat 1,/basisscholen/aardenburg/26404/basisschool-op-dreef/,Katholiek Basisonderwijs106,106.0,Aardenburg,Basic School,57.5,58.3,95.8,95.4
Protestants Christelijke Basisschool De Viergang,Jacob van Damstraat 24,/basisscholen/aarlanderveen/21148/protestants-christelijke-basisschool-de-viergang/,Prot. christelijk,63.0,Aarlanderveen,Basic School,65.4,59.2,98.8,95.6
Kindcentrum Breinplein,Schoolstraat 1,/basisscholen/aarle-rixtel/5309/kindcentrum-breinplein/,Katholiek Basisonderwijs190,190.0,Aarle-Rixtel,Basic School,57.1,62.0,97.6,96.4
Openbare Basisschool de Driehoek,Schoolstraat 1b,/basisscholen/aarle-rixtel/7413/openbare-basisschool-de-driehoek/,Openbaar Basisonderwijs163,163.0,Aarle-Rixtel,Basic School,53.2,62.0,95.0,96.4
Openbare Basisschool de Dubbele Punt,Koetenburg 14,/basisscholen/aartswoud/10147/openbare-basisschool-de-dubbele-punt/,Openbaar Basisonderwijs29,29.0,Aartswoud,Basic School,64.8,10.5,22.2,77.8
Openbare Basisschool de Plaats,Schoolwerf 1,/basisscholen/abbekerk/6234/openbare-basisschool-de-plaats/,Openbaar Basisonderwijs127,127.0,Abbekerk,Basic School,52.3,58.8,92.8,95.4
Openbare Basisschool De Vliegerdt,Achterweg ZZ 2c,/basisscholen/abbenbroek/6685/openbare-basisschool-de-vliegerdt/,Openbaar Basisonderwijs65,65.0,Abbenbroek,Basic School,52.0,55.8,100.0,94.7
IKC De Lente,Langerak 42,/basisscholen/abbenes/23476/ikc-de-lente/,Algemeen bijzonder,51.0,Abbenes,Basic School,57.1,50.4,95.2,92.8
Christelijk NAT Basisschool Abcoude,Blomswaard 2,/basisscholen/abcoude/5808/christelijk-nat-basisschool-abcoude/,Prot. christelijk,212.0,Abcoude,Basic School,73.8,70.3,99.6,97.6
