PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Drenthe;10053;18BR;School voor Praktijkonderwijs Assen;Zwartwatersweg;202;9406 NN;ASSEN;0106;ASSEN;Openbaar;0592340973;www.pro-assen.nl;PRO;Zwartwatersweg;202;9406 NN;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;13273;20LO;Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo;Mr Groen v Prinstererln;98;9402 KG;ASSEN;0106;ASSEN;Openbaar;0592333111;www.dr.nassaucollege.nl;VBO/MAVO/HAVO/VWO;Postbus;186;9400 AD;ASSEN;11;Assen;03;Centraal-Groningen;07;Noord- en Midden-Drenthe;07;Noord-Drenthe;04;Assen-Hoogeveen-Emmen;07;Noord- en Midden Drenthe
Drenthe;13737;06DT;School voor Praktijkonderwijs De Meander;Wolfsbosstraat;7-A;7905 BZ;HOOGEVEEN;0118;HOOGEVEEN;Openbaar;0528266192;www.wolfsbos.nl;PRO;Postbus;199-A;7900 AD;HOOGEVEEN;14;Hoogeveen;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;04;Assen-Hoogeveen-Emmen;09;Zuid-West Drenthe
Drenthe;13737;19IW;Regionale Scholengemeenschap Wolfsbos;Valkenlaan;1;7905 AA;HOOGEVEEN;0118;HOOGEVEEN;Openbaar;0528266192;www.wolfsbos.nl;VBO/MAVO/HAVO/VWO;Postbus;199;7900 AD;HOOGEVEEN;14;Hoogeveen;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;04;Assen-Hoogeveen-Emmen;09;Zuid-West Drenthe
Drenthe;35647;00PF;Carmelcollege Emmen;Wendeling;59;7824 TB;EMMEN;0114;EMMEN;Bijzonder;0591622870;www.carmelcollege.nl;VBO/MAVO/HAVO/VWO;Wendeling;59;7824 TB;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;41271;02VA;Roelof van Echten College;Sportveldenweg;20;7902 NX;HOOGEVEEN;0118;HOOGEVEEN;Bijzonder;0528358658;www.rvec.nl;VBO/MAVO/HAVO/VWO/PRO;Postbus;2152;7900 BD;HOOGEVEEN;14;Hoogeveen;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;04;Assen-Hoogeveen-Emmen;09;Zuid-West Drenthe
Drenthe;41509;16VP;Hondsrug College Christelijke SGM voor LYC HAVO MAVO VBO LWOO;Emmalaan;25;7822 JB;EMMEN;0114;EMMEN;Bijzonder;0591657979;www.hondsrugcollege.nl/;VBO/MAVO/HAVO/VWO;Postbus;66;7800 AB;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;41529;26HX;Praktijkschool Emmen;Ullevi;22;7825 SE;EMMEN;0114;EMMEN;Bijzonder;0591613310;www.pro-emmen.nl;PRO;Ullevi;22;7825 SE;EMMEN;12;Emmen;05;Zuid- en Midden-Drenthe;08;Zuidoost-Drenthe;08;Zuidoost-Drenthe;04;Assen-Hoogeveen-Emmen;08;Zuid-Oost Drenthe
Drenthe;41636;03XM;Christelijke Scholengemeenschap Dingstede voor Mavo Havo en Atheneum;Gerard Doustraat;13;7944 HD;MEPPEL;0119;MEPPEL;Bijzonder;0522700500;www.dingstede.nl;VBO/MAVO/HAVO/VWO;Postbus;119;7940 AC;MEPPEL;15;Meppel;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;05;Zwolle-Meppel en omstreken;09;Zuid-West Drenthe
Drenthe;41636;19TQ;Stad & Esch Praktijkschool;Ezingerweg;54;7943 AZ;MEPPEL;0119;MEPPEL;Openbaar;0522253188;www.stadenesch.nl;PRO;Postbus;178;7940 AD;MEPPEL;15;Meppel;05;Zuid- en Midden-Drenthe;09;Zuidwest-Drenthe;09;Zuidwest-Drenthe;05;Zwolle-Meppel en omstreken;09;Zuid-West Drenthe
